키워드,회사명,제목,링크,지역,경력,학력,연봉,고용형태,마감일,직무분야,연봉정보
python,(주)엘리스그룹,백엔드 엔지니어 (Python) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49383748&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력 3~5년,대졸↑,,정규직,~ 12/12(목),"Python, Java, Linux, 백엔드/서버개발, RDBMS 외                    수정일 24/11/13",취업축하금
python,아일리스프런티어(주),AI 서비스 - 자연어처리 (NLP) / Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395261&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 종로구,경력 1~3년,학력무관,,정규직,~ 12/12(목),"Python, 딥러닝, 머신러닝, 웹개발, 알고리즘 외                    등록일 24/11/13",취업축하금
python,아일리스프런티어(주),AI 서비스 - 자연어처리(NLP)/Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394122&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 종로구,경력 1~3년,학력무관,,정규직,채용시,"Python, 딥러닝, 머신러닝, 알고리즘, 백엔드/서버개발 외                    수정일 24/11/13",IT개발·데이터 지원 급상승
python,(주)링크제니시스,차량용 S/W Test 자동화 검증(Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409574&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,인천 서구,신입·경력,초대졸↑,,정규직,~ 01/14(화),"Python, C++, Java, QA/테스터, S/W 외                    등록일 24/11/15",프리한 복장
python,(주)데이터다이나믹스,정규 Python/Data Engineer (신입/경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461161&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경기 용인시 수지구,신입·경력,학력무관,,정규직,~ 12/25(수),"Python, AWS, Linux, 빅데이터, 클라우드 외                    등록일 24/11/25",급성장중
python,(주)니트머스,"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49214740&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 영등포구,신입,초대졸↑,"3,300 만원",정규직,~ 12/16(월),"Python, 웹개발, 백엔드/서버개발, S/W, Django 외                    수정일 24/11/22",연봉상승률 10% 이상
python,(주)씨에스엠17,NestJS+Python 백엔드 개발자 팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328612&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 금천구,경력5년↑,대졸↑,"7,000 만원",정규직,~ 12/03(화),"Python, C++, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/11/04",취업축하금
python,(주)플랙스,[Back-end]  PHP/Python 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49320025&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경기 용인시 수지구,경력무관,학력무관,,정규직·기간제,오늘마감,"Python, 백엔드/서버개발, PHP, 유지보수, API 외                    수정일 24/11/16",급성장중
python,(주)크립토랩,소프트웨어 엔지니어 인턴 모집 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49435007&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 관악구,경력무관,대졸↑,,인턴직,~ 12/31(화),"Python, 머신러닝, Linux, S/W, SDK 외                    수정일 24/11/20",IT개발·데이터 스크랩 급상승
python,(주)디지키,(주)디지키 Python 데이터 처리 및 분석 프로그램 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49265971&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경기 안양시 만안구,신입·경력,학력무관,,계약직,상시채용,"Python, 알고리즘, Pandas, 솔루션업체, 소프트웨어개발 등록일 24/10/24",IT개발·데이터 지원 급상승
python,라온엑스솔루션즈(주),.NET / Python / DB 프로그램 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49157205&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경기 성남시 분당구,경력무관,대졸↑,,정규직,~ 12/07(토),"Python, DBMS, S/W, .NET, 인터페이스 외                    등록일 24/10/08",IT개발·데이터 지원 급상승
python,(주)케이엘피,파이썬(Python) 기반의 풀스택 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487451&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력무관,고졸↑,,정규직·계약직,오늘마감,"Python, AWS, 백엔드/서버개발, 유지보수, 프론트엔드 외                    등록일 24/11/28",급성장중
python,주식회사비전코어,파이썬(Python) 및 앱(ios/안드로이드) 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490854&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,대구 동구,경력3년↑,초대졸↑,,정규직,~ 12/28(토),"Python, 솔루션, iOS, 소프트웨어개발 수정일 24/11/28",IT개발·데이터 지원 급상승
python,(주)기가스,"[경력] Payment Service 개발팀 백엔드/Python,Django 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49217419&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,대구 수성구,경력4년↑,대졸↑,"6,000 만원",정규직,~ 12/16(월),"Python, 솔루션, 웹개발, 백엔드/서버개발, Django 외                    수정일 24/10/31",자유로운 연차
python,(주)케이텍,"프로그램 개발자 모집(Machine Vision, AI(Python), C, C#, C++)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49335167&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경북 포항시 남구,경력무관,초대졸↑,,정규직,상시채용,"Python, C++, 알고리즘, SE(시스템엔지니어), SI개발 외                    수정일 24/11/26",연봉상승률 15% 이상
python,(주)스튜디오엠,"[AI, 딥러닝] Python 엔지니어 채용 공고",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49357425&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경기 수원시 영통구,신입,학력무관,,인턴직,~ 12/07(토),"Python, 딥러닝, 데이터라벨링, DevOps, AI(인공지능) 외                    등록일 24/11/07",
python,(주)미니레코드,Python 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49338177&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울전체,경력 1~6년,학력무관,,정규직,~ 12/04(수),"Python, 딥러닝, AWS, 머신러닝, 웹개발 외                    등록일 24/11/05",취업축하금
python,(주)데이터트리,[경력AI 개발] Full stack 개발자/React/Python,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458928&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 금천구,경력5년↑,대졸↑,,정규직,~ 12/24(화),"Python, Java, 솔루션, 머신러닝, 웹개발 외                    등록일 24/11/24",유연근무제
python,(주)이노룰스,"[AI디지털플랫폼팀] 웹개발자(Python, React, 경력 5년 이상) 경력직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49406482&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울전체,경력 5~15년,학력무관,,정규직,~ 12/17(화),"Python, 솔루션, 머신러닝, 웹개발, 백엔드/서버개발 외                    등록일 24/11/15",취업축하금
python,(주)한영넉스,한영넉스 AI연구소 - Python 어플리케이션 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49364260&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 영등포구,경력3년↑,대졸↑,,정규직,~ 12/08(일),"Python, C++, Linux, Windows, 임베디드리눅스 외                    수정일 24/11/08",
python,(주)파이오링크,"[코스닥상장사] 전문연구요원(병역특례)모집 Linux,Python,C",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434190&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 금천구,경력무관,석사↑,,정규직·전문연구요원,~ 12/20(금),"Python, C++, 솔루션, Linux, S/W 외                    등록일 24/11/20",연봉상승률 10% 이상
python,(주)사이버텔브릿지,[앱개발] Python개발 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49114736&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 구로구,경력 3~10년,대졸↑,,정규직,채용시,"Python, Java, 솔루션, 앱개발, Android 외                    등록일 24/10/02",연봉상승률 10% 이상
python,(주)엑스오비스,Python 개발 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49200418&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력2년↑,대졸↑,,정규직,~ 12/14(토),"Python, 솔루션, S/W, Pytorch, Tensorflow 외                    등록일 24/10/15",급성장중
python,(주)엑스오비스,Python 개발 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387510&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력 2~5년,대졸↑,,정규직,~ 12/15(일),"Python, 딥러닝, 솔루션, 머신러닝, 웹개발 외                    등록일 24/11/12",취업축하금
python,에스트래픽(주),에스트래픽 Python 기반 솔루션 경력개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416273&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,경기 성남시 수정구,경력5년↑,초대졸↑,,정규직,~ 12/08(일),"Python, 솔루션, 백엔드/서버개발, SI개발, Git 외                    수정일 24/11/28",
python,에이치에스소프트(주),Python개발자 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478598&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,인천 연수구,경력,학력무관,,정규직,~ 12/16(월),"Python, 솔루션, 알고리즘, AI(인공지능), OpenCV 외                    등록일 24/11/27",연봉상승률 30% 이상
python,(주)사람인에이치에스,[강남/5000천이상] 플랫폼 백엔드 개발 (Python) 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429895&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력 4~12년,학력무관,,정규직,채용시,"Python, AWS, 솔루션, 웹개발, 기술지원 외                    수정일 24/11/29",
python,알엔에이애널리틱스(주),[RNA] Full Stack Python Developer 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393082&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 종로구,경력,대졸↑,,정규직·계약직,~ 12/13(금),"Python, AWS, 웹개발, 백엔드/서버개발, 앱개발 외                    등록일 24/11/13",평균연봉 상위 10%
python,(주)링크제니시스,차량용 S/W Test 자동화 개발(Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49197247&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,인천 서구,신입·경력,대졸↑,,정규직,채용시,"Python, C++, Java, S/W, 솔루션업체 외                    등록일 24/10/15",IT개발·데이터 지원 급상승
python,(주)애드크림,국내 광고 포털 유지 보수 및 신규 서비스 개발 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49421817&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=709befe1-7b62-4eaa-99ce-2e28b08d3576,서울 강남구,경력3년↑,학력무관,,정규직,~ 12/31(화),"Python, 웹개발, 백엔드/서버개발, API, ASP 외                    등록일 24/11/18",
python,(주)도로시,[(주)도로시] QGIS 플러그인 파이썬(Python) 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49326427&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 금천구,경력,학력무관,,정규직·계약직,채용시,"Python, 웹개발, PostgreSQL, QGIS, 플러그인 외                    등록일 24/11/04",급성장중
python,(주)파운트,[금융/핀테크/Python] 백엔드 엔지니어(리드급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49371521&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 중구,경력 8~20년,학력무관,,정규직,~ 12/11(수),"Python, AWS, 웹개발, 앱개발, 프론트엔드 외                    등록일 24/11/11",시리즈C 투자유치
python,(주)파운트,[파운트/핀테크] 백엔드 개발자(Python/리드급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497052&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 중구,경력 7~15년,학력무관,,정규직,~ 12/30(월),"Python, AWS, 웹개발, 백엔드/서버개발, DBA 외                    등록일 24/11/29",취업축하금
python,(주)케파스,국가연구과제 SI 개발자 모집(Java/Python/React/SpringBoot),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49144829&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 강남구,경력 4~18년,초대졸↑,,정규직·계약직,~ 12/06(금),"Python, Java, 웹개발, Javascript, React 외                    등록일 24/10/07",연봉상승률 30% 이상
python,(주)바로팜,백엔드 개발자 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464566&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 강남구,경력 7~12년,학력무관,,정규직,~ 12/30(월),"Python, AWS, 웹개발, 백엔드/서버개발, 인프라 외                    등록일 24/11/25",취업축하금
python,올거나이즈코리아(주),Python Back-end Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49354966&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 강남구,경력 3~10년,학력무관,,정규직,~ 12/06(금),"Python, 딥러닝, AWS, 머신러닝, 웹개발 외                    등록일 24/11/07",취업축하금
python,(주)비비파트너스,"C#,C++,Python 프로그래머 모집(판교)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49415933&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,경기 성남시 분당구,경력 3~6년,대졸↑,,정규직,~ 12/18(수),"Python, C++, 솔루션, 머신러닝, 알고리즘 외                    등록일 24/11/18",
python,(주)에이젠글로벌,Python BackEnd Developer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49436228&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울전체,경력 5~20년,대졸↑,,정규직,~ 12/20(금),"Python, AWS, 머신러닝, 웹개발, 백엔드/서버개발 외                    등록일 24/11/20",취업축하금
python,리걸테크(주),"웹개발자(Python, DJango)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49466077&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 성동구,경력 3~5년,학력무관,,정규직,~ 12/30(월),"Python, 웹개발, 백엔드/서버개발, 블록체인, Django 외                    등록일 24/11/25",취업축하금
python,(주)네피리티,[제주]시스템 개발(Python) 계약직/정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49313758&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,제주 제주시,신입·경력,학력무관,,정규직·계약직,오늘마감,"Python, 백엔드/서버개발, SE(시스템엔지니어), AI(인공지능), DataMining 외                    등록일 24/11/01",연봉상승률 10% 이상
python,(주)제이투이,[Python SI 수원] 차세대 SCM 프로젝트 (2),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49443732&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,경기 수원시 권선구,경력10년↑,초대졸↑,,프리랜서,~ 12/21(토),"Python, AWS, Pandas, SCM, Lambda 외                    등록일 24/11/21",
python,(주)제이투이,[Python SI 판교] 문서 비교 시스템 개선   (3),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498551&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,경기 성남시 분당구,경력9년↑,초대졸↑,,프리랜서,~ 12/29(일),"Python, AWS, 웹개발, Django, PostgreSQL 외                    수정일 24/11/29",
python,피디에프솔루션세미컨덕터테크놀로지코리아(유),Python developer and customer service engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49138533&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,경기 화성시,경력3년↑,대졸↑,,정규직,채용시,"Python, C++, Linux, 기술지원, 데이터분석가 외                    수정일 24/11/27",평균연봉 상위 10%
python,(주)에이스파트너스서치펌,글로벌금융솔루션기업 Full Stack Python Developer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460880&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 종로구,경력5년↑,대졸↑,,정규직,채용시,"Python, Django, Flask, Git, 클라우드 외                    등록일 24/11/25",
python,(주)스카우트플랜,"AI 엔지니어 리더(Python,Golang 사용자) / 중견기업",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478357&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,경기 성남시 분당구,경력6년↑,대졸↑,,정규직,~ 12/27(금),"Python, Linux, 챗봇, AI(인공지능), GoLang 외                    수정일 24/11/27",
python,주식회사비전코어,파이썬(Python) 및 앱(ios/안드로이드) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396874&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,대구 동구,경력3년↑,대졸↑,,정규직,~ 12/17(화),"Python, 솔루션, 정보보안, 정보통신, iOS 외                    수정일 24/11/27",
python,조베이스(주),[솔루션] 백엔드 경력 개발자 모집(python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394729&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 강남구,경력 3~15년,대졸↑,,정규직,~ 12/13(금),"Python, C++, Java, 솔루션, 백엔드/서버개발 외                    등록일 24/11/13",급성장중
python,화랑,Vision/MFC/C# Python Tensorflow CUDA yolo v8 개발직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49360095&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,충남 천안시 동남구,경력무관,초대졸↑,"2,500 만원",정규직,~ 01/07(화),"Python, C++, 솔루션, DBMS, S/W 외                    등록일 24/11/08",프리한 복장
python,블록스퀘어서울,Python 백엔드 경력자(바이낸스 거래소 오토봇 개발 경험자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49159941&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 송파구,경력,학력무관,,정규직,~ 12/07(토),"Python, 백엔드/서버개발, Django, MongoDB, MySQL 외                    수정일 24/11/08",
python,코리아써치,AI 솔루션 백엔드(Python) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492064&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 송파구,경력5년↑,초대졸↑,,정규직,~ 12/29(일),"Python, 딥러닝, 솔루션, 머신러닝, AI(인공지능) 외                    등록일 24/11/29",
python,한단제어기술,"PC 제어프로그래머 (C, C++, C#, Python)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49335326&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,경기 안양시 동안구,경력무관,대졸↑,"4,500 만원",정규직,~ 12/05(목),"Python, C++, SE(시스템엔지니어), 라즈베리파이, 로봇엔지니어 외                    등록일 24/11/05",
python,(주)뮤즈라이브,Back-End Engineer (Python/Django),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49329753&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=9499fbc7-2dd9-41f1-abd6-fb0325861366,서울 마포구,경력 2~5년,학력무관,,정규직,~ 12/05(목),"Python, AWS, 웹개발, 백엔드/서버개발, 인프라 외                    등록일 24/11/04",취업축하금
